Rank,Player,Y/G,Years,Tm
,DeShaun Foster,45.2,2003-2008,2TM
218,Tony Collins,45.1,1981-1990,2TM
219,Marion Motley+,45,1946-1955,2TM
220,Rashaad Penny,44.8,2018-2023,2TM
221,Rick Casares,44.6,1955-1966,3TM
222,Mel Farr,44.5,1967-1973,det
,Chris Brown,44.5,2003-2009,2TM
224,David Johnson,44.3,2015-2022,3TM
225,Trent Richardson,44.2,2012-2014,2TM
,Clyde Edwards-Helaire,44.2,2020-2023,kan
227,Marv Hubbard,44.1,1969-1977,2TM
228,Randy McMillan,44,1981-1986,clt
,D'Onta Foreman,44,2017-2023,4TM
,Hoyle Granger,44,1966-1972,2TM
,Herschel Walker,44,1986-1997,4TM
232,Tony Pollard,43.9,2019-2023,dal
233,Ted Brown,43.7,1979-1986,min
234,Emerson Boozer,43.5,1966-1975,nyj
235,Kevin Smith,43.4,2008-2012,det
,Gary Brown,43.4,1991-1999,3TM
237,Gene Roberts,43.3,1947-1950,nyg
238,Terry Metcalf,43.2,1973-1981,2TM
239,Rob Goode,42.9,1949-1955,2TM
240,Ed Podolak,42.8,1969-1977,kan
,Sammie Smith,42.8,1989-1992,2TM
242,Sammy Winder,42.7,1982-1990,den
,Michael Vick,42.7,2001-2015,4TM
244,Bill Paschal,42.6,1943-1948,2TM
,Adrian Murrell,42.6,1993-2003,4TM
,Alex Webster,42.6,1955-1964,nyg
247,Austin Ekeler,42.5,2017-2023,sdg
,Stevan Ridley,42.5,2011-2018,4TM
249,Altie Taylor,42.2,1969-1976,2TM
,Terrance West,42.2,2014-2017,3TM
,Lamar Smith,42.2,1994-2003,4TM
,Jalen Hurts,42.2,2020-2023,phi
,Johnny Strzykalski,42.2,1946-1952,sfo
