,,,Misc,,,,,,Games,,Rushing,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Att,Yds,TD,Lng
Dave Meggett,26.58,1,0,2,0,1989,1998,43,146,12,398,1684,8,51
Jamal Anderson,26,0,1,1,4,1994,2001,49,88,64,1329,5336,34,48
Nick Chubb,25.93,0,0,4,5,2018,2023,45,77,70,1238,6511,48,92
Melvin Gordon,25.6,0,0,2,7,2015,2023,50,110,94,1580,6515,55,87
Brian Mitchell,25.5,1,1,1,0,1990,2003,39,223,16,388,1967,12,85
Pete Johnson,25.38,0,0,1,7,1977,1984,52,110,73,1489,5626,76,65
Hewritt Dixon,25.35,0,1,4,7,1963,1970,49,99,80,772,3090,15,40
LeGarrette Blount,25.3,3,0,0,5,2010,2018,39,132,62,1495,6306,56,68
Devonta Freeman,24.93,0,0,2,4,2014,2021,49,98,71,1138,4720,38,75
Ahmad Bradshaw,24.83,2,0,0,3,2007,2015,42,103,36,1083,4928,36,88
Curtis McClinton,24.65,2,0,3,5,1962,1969,47,107,71,762,3124,18,69
Robert Newhouse,24.63,1,0,0,5,1972,1983,45,168,75,1160,4784,31,54
James White,24.63,3,0,0,0,2014,2021,37,95,13,319,1278,11,32
Aaron Jones,24.45,0,0,1,5,2017,2023,51,88,76,1049,5343,44,77
Marv Hubbard,24.4,0,0,3,4,1969,1977,46,103,59,951,4544,23,53
Pierre Thomas,24.3,1,0,0,2,2007,2015,45,110,38,833,3809,28,48
Elijah Pitts,24.15,5,0,0,2,1961,1971,28,134,28,514,1788,28,34
Terry Barr,23.95,1,0,2,5,1957,1965,38,102,80,32,151,2,37
Tom Rathman,23.85,2,0,0,7,1986,1994,40,131,107,544,2020,26,35
Tom Moore,23.75,3,0,1,3,1960,1967,33,102,47,660,2445,21,77
Clarence Davis,23.48,1,0,0,4,1971,1978,43,89,43,804,3640,26,45
Tony Richardson,23.48,0,0,3,11,1995,2010,23,234,133,429,1727,15,33
Kevin Mack,23.3,0,0,2,6,1985,1993,46,99,82,1291,5123,46,65
Mike Thomas,23.28,0,0,1,5,1975,1980,49,77,62,1087,4196,19,34
Jon Arnett,23.15,0,1,5,7,1957,1966,31,123,85,964,3833,26,80
Sherman Smith,23.15,0,0,0,6,1976,1983,51,95,70,834,3520,28,67
Jonathan Stewart,23.15,0,0,1,5,2008,2018,48,134,64,1705,7335,51,69
Dave Osborn,23.03,0,0,1,5,1965,1976,48,143,68,1179,4336,29,73
Mike Tolbert,22.93,0,2,3,1,2008,2017,32,143,44,696,2649,34,40
Dalton Hilliard,22.9,0,0,1,2,1986,1993,48,108,43,1126,4164,39,65
John Fuqua,22.78,2,0,0,3,1969,1976,38,100,52,719,3031,21,85
Les Josephson,22.78,0,0,1,6,1964,1974,48,129,66,797,3407,17,75
Michael Bates,22.75,0,1,5,0,1993,2003,6,145,1,12,33,0,12
Rickey Young,22.68,0,0,0,7,1975,1983,50,131,102,1011,3666,23,48
Ted Brown,22.65,0,0,0,7,1979,1986,50,104,75,1117,4546,40,60
Tony Collins,22.58,0,0,1,6,1981,1990,47,103,83,1191,4647,32,54
Doug Martin,22.55,0,1,2,7,2012,2018,39,84,74,1322,5356,30,84
David Johnson,22.45,0,1,1,3,2015,2022,42,92,63,1007,4071,39,58
Rudi Johnson,22.18,0,0,1,5,2001,2008,46,95,63,1517,5979,49,54
Brandon Jacobs,22.15,2,0,0,3,2005,2013,36,109,49,1141,5094,60,73
Wilbur Jackson,22.1,1,0,0,5,1974,1982,40,94,73,971,3852,13,80
Fred Jackson,21.55,0,0,0,4,2007,2015,48,122,61,1305,5746,30,80
Darrin Nelson,21.43,0,0,0,6,1982,1992,48,152,68,1020,4442,18,72
Daryl Johnston,21.25,3,0,2,9,1989,1999,25,151,122,232,753,8,18
Dexter Bussey,21.18,0,0,0,7,1974,1984,47,150,100,1203,5105,18,46
Terry Kirby,21.13,0,0,0,2,1993,2002,47,110,39,761,2875,27,38
Bill Mathis,21.08,1,1,2,7,1960,1969,42,137,91,1044,3589,37,79
Austin Ekeler,20.98,0,0,0,3,2017,2023,47,91,56,841,3871,35,72
Leonard Fournette,20.98,1,0,0,5,2017,2022,38,79,61,1132,4478,34,90
Ryan Mathews,20.98,0,0,1,5,2010,2016,44,86,66,1184,5261,37,63
Josh Jacobs,20.88,0,1,2,4,2019,2023,36,66,65,1179,5052,42,86
Sammy Winder,20.85,0,0,2,6,1982,1990,41,127,83,1495,5427,39,52
Mel Farr,20.78,0,0,2,4,1967,1973,41,69,48,739,3072,26,57
Kareem Hunt,20.63,0,0,1,2,2017,2023,43,79,37,917,4097,32,69
Lorenzo White,20.63,0,0,1,3,1988,1995,43,107,50,1062,4242,30,44
Dan Reeves,20.48,1,0,0,2,1965,1972,37,100,40,535,1990,25,67
Leroy Hoard,20.45,0,0,1,4,1990,1999,43,144,66,1008,3964,36,53
Kimble Anders,20.43,0,0,3,7,1991,2000,37,125,94,495,2261,9,69
James Stewart,20.4,0,0,0,6,1995,2002,46,101,69,1478,5841,48,56
Johnny Roland,20.35,0,0,2,6,1966,1973,40,103,79,1015,3750,28,70
Joe Mixon,20.2,0,0,1,4,2017,2023,42,86,77,1410,5744,41,51
Latavius Murray,20.2,0,0,1,3,2014,2023,42,141,77,1512,6380,57,90
Dominic Rhodes,20.15,1,0,0,2,2001,2010,36,99,33,814,3286,26,77
Ryan Grant,20.13,1,0,0,4,2007,2012,36,68,53,956,4148,27,66
Don McCauley,20.13,0,0,0,2,1971,1981,45,156,25,770,2627,40,36
Barry Foster,19.98,0,1,2,4,1990,1994,34,62,44,915,3943,26,69
Christian Okoye,19.88,0,1,2,6,1987,1992,34,79,65,1246,4897,40,59
Lamar Miller,19.8,0,0,1,6,2012,2020,42,106,89,1354,5864,32,97
Gary Anderson,19.78,0,0,1,4,1985,1993,42,111,61,869,3409,16,64
Ronnie Bull,19.75,1,0,0,8,1962,1971,36,123,89,881,3222,9,50
Travis Henry,19.73,0,0,1,4,2001,2007,41,90,69,1488,6086,38,70
Nick Pietrosante,19.73,0,0,2,7,1959,1967,38,115,75,955,4026,28,57
Alex Webster,19.6,1,0,2,8,1955,1964,29,109,89,1196,4638,39,71
Gerry Ellis,19.58,0,0,0,5,1980,1986,44,103,81,836,3826,25,71
Ronnie Brown,19.55,0,0,1,6,2005,2014,41,132,74,1281,5391,38,65
Dave Hampton,19.53,0,0,0,4,1969,1976,44,93,55,1148,4536,25,59
Earl Gros,19.48,1,0,0,5,1962,1970,35,108,63,821,3157,28,59
Saquon Barkley,19.3,0,0,2,4,2018,2023,38,63,63,1007,4456,30,78
Stump Mitchell,19.18,0,0,0,3,1981,1989,43,116,53,986,4649,32,64
Larry Garron,19.15,0,0,4,4,1960,1968,46,99,70,759,2981,14,85
Matt Suhey,19.13,1,0,0,7,1980,1989,34,148,100,828,2946,20,39
Jerry Hill,18.93,1,0,0,5,1961,1970,34,102,56,706,2668,22,50
Charlie Harraway,18.83,0,0,0,5,1966,1973,43,110,73,822,3019,20,57
Harold Green,18.75,0,0,1,6,1990,1998,40,124,81,1151,4365,13,75
Marion Barber III,18.65,0,0,1,3,2005,2011,39,99,42,1156,4780,53,54
J.D. Smith,18.55,0,0,2,6,1956,1966,36,131,84,1100,4672,40,80
Alfred Morris,18.48,0,0,2,4,2012,2020,36,114,70,1429,6173,35,70
Pete Banaszak,18.43,1,0,0,2,1966,1978,39,173,36,964,3772,47,47
Giovani Bernard,18.4,0,0,0,2,2013,2022,42,135,30,937,3783,22,89
Essex Johnson,18.38,0,0,0,2,1968,1976,45,112,32,722,3236,19,86
James Jones,18.25,0,0,0,6,1983,1992,42,135,91,1010,3626,26,39
Wayne Wilson,18.25,1,0,0,3,1979,1987,33,111,34,684,2531,18,41
Chester Taylor,18.18,0,0,0,1,2002,2011,41,151,34,1160,4740,26,95
Leon Washington,18.15,0,1,2,1,2006,2014,30,126,14,487,2271,16,61
Marion Butts,18.1,0,0,2,4,1989,1995,35,104,74,1345,5185,43,52
