Rank,Player,Yds,Years,Tm
184,Bob Waterfield+,"11,849",1945-1952,ram
185,Jay Fiedler,"11,844",1995-2005,5TM
186,Sam Darnold,"11,768",2018-2023,3TM
187,Cotton Davidson,"11,760",1954-1968,3TM
188,Tyrod Taylor,"11,365",2011-2023,6TM
189,Vince Ferragamo,"11,336",1977-1986,3TM
190,Mike Livingston,"11,295",1968-1979,kan
191,Tony Eason,"11,142",1983-1990,2TM
192,Tim Couch,"11,131",1999-2003,cle
193,Charlie Batch,"11,085",1998-2012,2TM
194,Brian Hoyer,"10,899",2009-2023,8TM
195,Derek Anderson,"10,878",2006-2018,4TM
196,Frankie Albert,"10,795",1946-1952,sfo
197,Billy Joe Tolliver,"10,760",1989-1999,5TM
198,Eric Hipple,"10,711",1980-1989,det
199,Byron Leftwich,"10,532",2003-2012,4TM
200,Mike Phipps,"10,506",1970-1981,2TM
201,George Ratterman,"10,473",1947-1956,3TM
202,Steve Bono,"10,439",1985-1999,7TM
203,Tommy Thompson,"10,385",1940-1950,2TM
204,Jacoby Brissett,"10,350",2016-2022,4TM
205,Zeke Bratkowski,"10,345",1954-1971,3TM
206,Frank Tripucka,"10,282",1949-1963,4TM
207,Dave Brown,"10,248",1992-2001,2TM
208,Jack Trudeau,"10,243",1986-1995,3TM
209,Rex Grossman,"10,232",2003-2011,3TM
210,Mark Malone,"10,175",1980-1989,3TM
211,Tua Tagovailoa,"10,107",2020-2023,mia
212,Jalen Hurts,"9,727",2020-2023,phi
213,Vince Evans,"9,485",1977-1995,2TM
214,Bobby Thomason,"9,480",1949-1957,3TM
215,Lamar McHan,"9,449",1954-1963,4TM
216,Gary Hogeboom,"9,436",1980-1989,3TM
217,Mike Pagel,"9,414",1982-1993,3TM
218,Trevor Lawrence,"9,397",2021-2023,jax
219,Blaine Gabbert,"9,333",2011-2023,6TM
220,Pat Haden,"9,296",1976-1981,ram
221,Robert Griffin III,"9,271",2012-2020,3TM
222,Bob Berry,"9,197",1965-1975,2TM
223,Vince Young,"8,964",2006-2011,2TM
224,Kyle Boller,"8,931",2003-2011,3TM
225,John Friesz,"8,699",1990-2000,4TM
226,Jim Finks+,"8,622",1949-1955,pit
227,David Woodley,"8,558",1980-1985,2TM
228,Rudy Bukich,"8,433",1953-1968,4TM
229,Randy Johnson,"8,329",1966-1976,4TM
230,Shaun Hill,"8,295",2005-2016,4TM
231,Mac Jones,"8,278",2021-2023,nwe
232,Pete Beathard,"8,176",1964-1973,4TM
233,James Harris,"8,136",1969-1979,3TM
234,Tommy Maddox,"8,087",1992-2005,4TM
235,Arnie Herber+,"8,041",1930-1945,2TM
236,Colt McCoy,"7,975",2010-2022,5TM
237,Steve Walsh,"7,875",1989-1999,6TM
238,Gardner Minshew II,"7,819",2019-2023,3TM
239,Kent Graham,"7,801",1992-2001,4TM
240,Al Dorow,"7,708",1954-1962,4TM
241,Craig Erickson,"7,625",1992-1997,3TM
242,Matt Moore,"7,597",2007-2019,3TM
243,Brock Osweiler,"7,418",2012-2018,3TM
244,Gary Cuozzo,"7,402",1963-1972,4TM
245,Paul Christman,"7,294",1945-1950,2TM
246,Tarvaris Jackson,"7,263",2006-2015,2TM
247,Steve Fuller,"7,156",1979-1986,2TM
248,Dick Wood,"7,153",1962-1966,5TM
249,Jim Ninowski,"7,133",1958-1969,4TM
250,Bob Avellini,"7,111",1975-1984,chi
