Rank,Player,Yds,Years,Tm
170,Alshon Jeffery,"6,786",2012-2020,2TM
171,Dwight Clark,"6,750",1979-1987,sfo
172,Frank Sanders,"6,749",1995-2003,2TM
173,Kellen Winslow+,"6,741",1979-1987,sdg
174,Frank Lewis,"6,724",1971-1983,2TM
175,Marty Booker,"6,703",1999-2009,3TM
176,Cris Collinsworth,"6,698",1981-1988,cin
177,Cooper Kupp,"6,645",2017-2023,ram
178,Deion Branch,"6,644",2002-2012,2TM
,Mel Gray,"6,644",1971-1982,crd
180,Willie Gault,"6,635",1983-1993,2TM
181,Jerricho Cotchery,"6,623",2004-2015,3TM
182,Al Toon,"6,605",1985-1992,nyj
183,Brett Perriman,"6,589",1988-1997,4TM
184,Michael Haynes,"6,588",1988-1997,2TM
185,Heath Miller,"6,569",2005-2015,pit
186,Doug Baldwin,"6,563",2011-2018,sea
187,Michael Thomas,"6,560",2016-2023,nor
188,Henry Marshall,"6,545",1976-1987,kan
189,Dante Lavelli+,"6,488",1946-1956,cle
190,Ricky Sanders,"6,477",1986-1995,2TM
191,Del Shofner,"6,470",1957-1967,2TM
192,Mike Quick,"6,464",1982-1990,phi
193,Quinn Early,"6,448",1988-1999,4TM
194,Sammy White,"6,400",1976-1985,min
195,Ike Hilliard,"6,397",1997-2008,2TM
196,Carlos Carson,"6,372",1980-1989,2TM
197,Troy Brown,"6,366",1993-2007,nwe
198,Max McGee,"6,346",1954-1967,gnb
199,Stephone Paige,"6,341",1983-1991,kan
200,Haywood Jeffires,"6,334",1987-1996,2TM
201,Steve Jordan,"6,307",1982-1994,min
202,Sean Dawkins,"6,291",1993-2001,4TM
203,Alfred Jenkins,"6,267",1975-1983,atl
204,Danny Amendola,"6,212",2009-2021,5TM
205,Darnay Scott,"6,193",1994-2002,2TM
206,Jeremy Shockey,"6,143",2002-2011,3TM
207,Eddie Brown,"6,134",1985-1991,cin
208,Chris Godwin,"6,118",2017-2023,tam
209,Steve Watson,"6,112",1979-1987,den
210,Ronnie Harmon,"6,076",1986-1997,4TM
211,Ben Watson,"6,058",2004-2019,4TM
212,Red Phillips,"6,044",1958-1967,2TM
213,Lenny Moore+,"6,039",1956-1967,clt
214,Santonio Holmes,"6,030",2006-2014,3TM
215,Louis Lipps,"6,019",1984-1992,2TM
216,Jack Snow,"6,012",1965-1975,ram
217,Lee Evans,"6,008",2004-2011,2TM
218,Sonny Randle,"5,996",1959-1968,3TM
219,Brandon Lloyd,"5,989",2003-2014,6TM
220,Bobby Joe Conrad,"5,902",1958-1969,2TM
,Billy Wilson,"5,902",1951-1960,sfo
222,D.J. Moore,"5,892",2018-2023,2TM
223,Delanie Walker,"5,888",2006-2019,2TM
224,Todd Christensen,"5,872",1979-1988,2TM
225,Todd Heap,"5,869",2001-2012,2TM
226,James Jones,"5,861",2007-2015,2TM
227,Jessie Hester,"5,850",1985-1995,4TM
228,Freddie Solomon,"5,846",1975-1985,2TM
229,Eric Decker,"5,816",2010-2017,3TM
230,Mike Ditka+,"5,812",1961-1972,3TM
231,Riley Odoms,"5,755",1972-1983,den
232,Cole Beasley,"5,744",2012-2022,3TM
233,Ted Ginn Jr.,"5,742",2007-2020,6TM
234,Roy Williams,"5,715",2004-2011,3TM
235,John Jefferson,"5,714",1978-1985,3TM
236,George Kittle,"5,697",2017-2023,sfo
237,Gail Cogdill,"5,696",1960-1970,3TM
238,Vance Johnson,"5,695",1985-1995,den
239,Jabar Gaffney,"5,690",2002-2012,5TM
240,Danny Abramowicz,"5,686",1967-1974,2TM
241,Antonio Bryant,"5,685",2002-2009,4TM
242,Dallas Clark,"5,665",2003-2013,3TM
243,Keith Byars,"5,661",1986-1998,4TM
,Owen Daniels,"5,661",2006-2015,3TM
245,Nate Burleson,"5,630",2003-2013,3TM
246,Dave Parks,"5,619",1964-1973,3TM
,Pete Pihos+,"5,619",1947-1955,phi
248,Mac Speedie+,"5,602",1946-1952,cle
249,John Taylor,"5,598",1987-1995,sfo
250,Tyler Boyd,"5,577",2016-2023,cin
