,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Ethan Horton,12.38,0,0,1,5,1985,1994,22,116,80,212,2360,17,52
Tony Scheffler,12.15,0,0,0,2,2006,2013,24,107,42,258,3207,22,72
Marv Cook,11.95,0,1,2,6,1989,1995,13,112,76,257,2190,13,49
Walter White,11.75,0,0,0,2,1975,1979,24,63,37,163,2396,16,69
Bob Windsor,11.73,0,0,0,5,1967,1975,23,117,67,185,2307,14,62
Pete Mitchell,11.68,0,0,0,3,1995,2002,23,114,63,279,2885,15,45
Pettis Norman,11.68,0,0,0,9,1962,1973,23,162,122,183,2492,15,49
John Spagnola,11.68,0,0,0,5,1979,1989,23,133,80,263,2886,15,57
Stephen Alexander,11.5,0,0,1,6,1998,2006,20,118,99,247,2519,14,33
Visanthe Shiancoe,11.28,0,0,0,5,2003,2013,23,149,90,245,2679,27,79
Bruce Hardy,11.23,0,0,0,6,1978,1989,22,151,95,256,2455,25,31
Jermaine Wiggins,11.23,1,0,0,3,2000,2006,18,107,44,236,2141,14,59
Cameron Brate,11.18,1,0,0,3,2014,2022,18,126,33,273,2857,33,46
Anthony Fasano,11.18,0,0,0,8,2006,2017,22,180,136,299,3278,36,35
Pat Richter,11.18,0,0,0,3,1963,1970,22,103,45,99,1315,14,40
Dustin Keller,11.03,0,0,0,3,2008,2012,22,72,48,241,2876,17,54
Jacque MacKinnon,11.03,1,0,2,2,1961,1970,26,118,41,112,2109,20,71
Tyler Eifert,10.98,0,0,1,2,2013,2020,19,74,41,221,2501,26,71
Andrew Glover,10.95,0,0,0,5,1991,2000,22,154,82,208,2478,24,43
Brandon Pettigrew,10.95,0,0,0,7,2009,2015,22,93,85,301,2965,17,35
Ray Poage,10.88,0,0,0,3,1963,1971,22,86,50,145,2309,13,67
Eric Sievers,10.63,0,0,0,4,1981,1990,21,122,51,214,2485,16,46
Ernie Conwell,10.58,1,0,0,7,1996,2006,17,125,91,203,2188,15,52
Ernie Warlick,10.55,2,0,4,3,1962,1965,16,56,48,90,1551,4,55
Howard Cross,10.48,1,0,0,10,1989,2001,17,207,171,201,2194,17,40
Dave Moore,10.48,0,0,1,5,1992,2006,18,220,107,207,2028,28,44
Jacob Tamme,10.48,0,0,0,2,2008,2016,21,130,36,259,2570,14,41
Stu Voigt,10.43,0,0,0,6,1970,1980,21,131,80,177,1919,17,44
Ferrell Edmunds,10.38,0,0,2,4,1988,1994,15,89,80,148,1894,12,80
Donald Lee,10.38,1,0,0,5,2003,2011,17,133,68,209,1990,19,60
David Sloan,10.38,0,0,1,6,1995,2003,18,110,80,192,2151,15,74
Kevin Boss,10.35,1,0,0,4,2007,2012,17,74,58,150,2033,22,54
Troy Drayton,10.33,0,0,0,6,1993,2000,21,122,91,243,2645,24,51
L.J. Smith,10.33,0,0,0,4,2003,2009,21,98,65,233,2556,18,65
Junior Miller,10.08,0,0,2,3,1980,1984,14,71,45,122,1409,14,39
Dennis Pitta,10,1,0,0,1,2010,2016,16,66,23,224,2098,13,61
Jamie Williams,9.95,1,0,0,5,1983,1994,16,160,84,181,1980,11,33
