Rank,Player,Yds,Years,Tm
186,Mike Rozier,"4,462",1985-1991,2TM
187,Joseph Addai,"4,453",2006-2011,clt
,Otis Armstrong,"4,453",1973-1980,den
189,Ed Podolak,"4,451",1969-1977,kan
190,Darrin Nelson,"4,442",1982-1992,2TM
191,Harold Green,"4,365",1990-1998,3TM
192,Rob Carpenter,"4,363",1977-1986,3TM
193,Jordan Howard,"4,362",2016-2022,4TM
194,Jim Otis,"4,350",1970-1978,3TM
195,Dave Osborn,"4,336",1965-1976,2TM
196,Ron Johnson,"4,308",1969-1975,2TM
,Altie Taylor,"4,308",1969-1976,2TM
198,Craig Heyward,"4,301",1988-1998,5TM
199,Gary Brown,"4,300",1991-1999,3TM
200,Cookie Gilchrist,"4,293",1962-1967,3TM
201,Matt Snell,"4,285",1964-1972,nyj
202,Johnny Hector,"4,280",1983-1992,nyj
203,Lorenzo White,"4,242",1988-1995,2TM
204,Steve Young+,"4,239",1985-1999,2TM
205,Rashard Mendenhall,"4,236",2008-2013,2TM
206,Tommy Mason,"4,203",1961-1971,3TM
207,James Conner,"4,200",2017-2023,2TM
208,Tony Canadeo+,"4,197",1941-1952,gnb
,Carl Garrett,"4,197",1969-1977,4TM
210,Mike Thomas,"4,196",1975-1980,2TM
211,Kareem Hunt,"4,183",2017-2023,2TM
212,Earnest Jackson,"4,167",1983-1988,3TM
213,Dalton Hilliard,"4,164",1986-1993,nor
214,Ryan Grant,"4,148",2007-2012,2TM
215,Errict Rhett,"4,143",1994-2000,3TM
216,Mercury Morris,"4,133",1969-1976,2TM
217,Shonn Greene,"4,110",2009-2014,2TM
218,Johnny Johnson,"4,078",1990-1994,2TM
219,Tony Galbreath,"4,072",1976-1987,3TM
220,David Johnson,"4,071",2015-2022,3TM
221,Mike Anderson,"4,067",2000-2007,2TM
222,Jonathan Taylor,"4,048",2020-2023,clt
223,Alan Ameche,"4,045",1955-1960,clt
224,Cadillac Williams,"4,038",2005-2011,2TM
225,Nick Pietrosante,"4,026",1959-1967,2TM
226,Curtis Dickey,"4,019",1980-1986,2TM
