,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Homer Jones,29.18,0,0,2,4,1964,1970,57,87,59,224,4986,36,98
Alfred Jenkins,29.15,0,1,2,8,1975,1983,52,110,110,360,6267,40,73
Webster Slaughter,28.93,0,0,2,9,1986,1998,57,162,127,563,8111,44,97
Brian Blades,28.8,0,0,1,9,1988,1998,60,156,122,581,7620,34,80
Carl Pickens,28.35,0,0,2,8,1992,2000,56,129,117,540,7129,63,75
Gail Cogdill,28.3,0,0,3,8,1960,1970,53,127,112,356,5696,34,84
Curtis Conway,28.3,0,0,0,10,1993,2004,62,167,144,594,8230,52,85
Brandon Stokley,28.18,3,0,0,1,1999,2013,44,152,44,397,5339,39,87
Chris Chambers,27.9,0,0,1,8,2001,2010,58,153,127,540,7648,58,77
Nate Washington,27.75,2,0,0,7,2005,2015,48,159,107,458,6954,44,80
Chris Burford,27.65,1,1,1,8,1960,1967,58,103,100,391,5505,55,69
Red Phillips,27.58,0,1,3,9,1958,1967,46,119,105,401,6044,34,93
Louis Lipps,27.55,0,0,2,7,1984,1992,54,110,98,359,6019,39,89
Danny Abramowicz,27.5,0,1,0,8,1967,1974,55,111,106,369,5686,39,80
Mike Wallace,27.48,0,0,1,8,2009,2018,57,144,124,538,8072,57,95
Alshon Jeffery,27.43,1,0,1,8,2012,2020,48,109,97,475,6786,46,80
Eddie Brown,27.33,0,0,1,7,1985,1991,57,102,99,363,6134,41,86
Josh Cribbs,27.28,0,1,3,2,2005,2014,21,136,31,110,1175,7,65
Sammy White,27.2,0,0,2,9,1976,1985,53,128,118,393,6400,50,69
Bobby Joe Conrad,27.15,0,1,1,10,1958,1969,51,156,135,422,5902,38,80
Brett Perriman,27.15,0,0,0,7,1988,1997,59,153,116,525,6589,30,91
Jeff Graham,27.13,0,0,0,9,1991,2001,59,160,129,542,8172,30,83
Bob Chandler,26.93,1,0,0,7,1971,1982,50,145,105,370,5243,48,58
T.J. Houshmandzadeh,26.78,0,0,1,6,2001,2011,56,146,92,627,7237,44,62
David Patten,26.68,3,0,0,5,1997,2008,41,147,73,324,4715,24,91
Adam Thielen,26.58,0,0,2,7,2014,2023,52,141,107,583,7191,59,71
Matthew Slater,26,3,2,10,0,2008,2023,0,229,3,1,46,0,46
Bill Brooks,25.95,0,0,0,10,1986,1996,57,169,132,583,8001,46,84
Frank Clarke,25.9,0,1,0,5,1957,1967,52,140,73,291,5426,50,80
Carlos Carson,25.75,0,0,2,7,1980,1989,51,126,92,353,6372,33,81
Wayne Chrebet,25.75,0,0,0,7,1995,2005,57,152,104,580,7365,41,70
Derrick Alexander,25.6,0,0,0,7,1994,2002,56,126,102,417,6971,40,92
Danny Amendola,25.6,2,0,0,3,2009,2021,43,163,76,617,6212,24,57
Santonio Holmes,25.58,1,0,0,6,2006,2014,47,112,91,389,6030,36,83
Lance Rentzel,25.53,0,0,0,6,1965,1974,56,115,83,268,4826,38,86
Bernie Casey,25.5,0,0,1,6,1961,1968,53,105,93,359,5444,40,68
Buddy Dial,25.43,0,0,2,5,1959,1966,50,98,61,261,5436,44,88
Pat Tilley,25.34,0,0,1,8,1976,1986,53,147,123,468,7005,37,75
